name,price,miniature,big_image,description,details,subcategory
One Piece: Den Den Mushi Speaker - Roronoa Zoro Ver. (Banpresto) [2nd hand],"22,96 €",One Piece- Den Den Mushi Speaker - Roronoa Zoro Ver. (Banpresto) [2nd hand].jpg,One Piece- Den Den Mushi Speaker - Roronoa Zoro Ver. (Banpresto) [2nd hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong>Japanese Original <strong>Edition</strong><strong>, 2nd hand Figure</strong></strong></span><br/><span style=""font-size: 10pt;""><strong>This product comes from an Amusement Center UFO Catcher.</strong></span>  </p><p>From the world of <em>One Piece</em> comes the Den Den Mushi Speaker in a special Roronoa Zoro! This charming and functional collectible brings the iconic Den Den Mushi to life, designed to resemble the snail-like communication device from the series. </p><p>Perfect for fans, this speaker emits sound from its shell, adding a touch of whimsy and fun to your music or audio experience. A must-have for <em>One Piece</em> enthusiasts, it’s both a unique decorative piece and a practical gadget for your collection.</p><p><strong style=""font-size: 10pt;""><span style=""text-decoration-line: underline;"">Details:</span></strong></p><p><span style=""font-size: 10pt;""><strong>Maker:</strong> Banpresto</span><br/><span style=""font-size: 10pt;""><strong>Material:</strong> PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong>Size: </strong>13.0cm </span><br/><span style=""font-size: 10pt;""><strong>Release Date: </strong>2024/11</span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=roronoa+zoro"">roronoa zoro</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Den+Den+Mushi"">Den Den Mushi</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Speaker"">Speaker</a></div></div></div></div>",,One Piece
King Of Artist: One Piece - Gol D. Roger & Kouzuki - 2 Figure Set (Banpresto) [2nd Hand],"36,69 €",King Of Artist- One Piece - Gol D. Roger & Kouzuki - 2 Figure Set (Banpresto) [2nd Hand].jpg,King Of Artist- One Piece - Gol D. Roger & Kouzuki - 2 Figure Set (Banpresto) [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Version, 2nd Hand Figure<br/></strong><strong style=""font-size: 10pt;"">This product come from Amusement UFO Catcher</strong> </span></p><p>Experience the pinnacle of craftsmanship with the <em>King Of Artist</em> series, now featuring the legendary Gol D. Roger and Kozuki Oden in an exclusive 2-figure set with special colors. These figures are a testament to the artistry and skill of top sculptors, delivering a definitive representation of these iconic characters. </p><p>Each figure boasts incredible detail, from the finely sculpted muscles and realistic folds in their clothing to the masterful attention to texture and expression. Whether you're a fan of Roger’s commanding presence or Oden’s heroic aura, this set captures the essence of both characters in stunning form. </p><p>A must-have for any <em>One Piece</em> collector, this set elevates your collection to new heights with its exceptional design and craftsmanship.</p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""text-decoration: underline;"">Details</span>:</strong></span></p><p><span style=""font-size: 10pt;""><strong>Maker:</strong> Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong>Material:</strong> PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong>Size:</strong> ~ Gol D. Roger - (H) 23.0cm / Kouzuki - (H) 17.0cm</span><br/><span style=""font-size: 10pt;""><strong>Release Date: </strong>2024/09 </span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=KING+OF+ARTIST"">KING OF ARTIST</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Gol+D.+Roger"">Gol D. Roger</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Kouzuki"">Kouzuki</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2+Figure+Set"">2 Figure Set</a></div></div></div></div>",,One Piece
Ichiban Kuji (B Prize): One Piece - Memory of Heroines - Stussy [2nd Hand],"66,32 €",Ichiban Kuji (B Prize)- One Piece - Memory of Heroines - Stussy [2nd Hand].jpg,Ichiban Kuji (B Prize)- One Piece - Memory of Heroines - Stussy [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Original Edition, 2nd Hand Prize Figure</strong><br/>This is a Convenience Store Lottery product</span></p><p>The <strong>Ichiban Kuji Masterlise EXPiece Figure of Stussy</strong> from <em>One Piece</em> captures the elegance and mystery of the CP0 agent in stunning detail. Standing poised with her confident demeanor, Stussy's figure showcases her intricate outfit, flowing hair, and sharp, commanding expression. With the exceptional craftsmanship of the Masterlise EXPiece series, this figure is a must-have for fans looking to add the enigmatic and stylish Stussy to their <em>One Piece</em> collection.<br/><span>© Eiichiro Oda/Shueisha, Fuji Television, Toei Animation</span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""text-decoration-line: underline;""><strong>Details</strong></span><span style=""font-weight: normal;"">:</span></strong></span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Maker</strong>: Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Material: </strong>PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Size: </strong>~ (H) 20.0cm</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Release Date: </strong>2024/11</span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4573102670595</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=bandai"">bandai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Boa+Hancock"">Boa Hancock</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Spirits"">Spirits</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Ichiban+Kuji"">Ichiban Kuji</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=memory+of+heroine"">memory of heroine</a></div></div></div></div>",,One Piece
ONE PIECE CARD GAME: Official Card Sleeves 9 (Set of 4) [Bandai],"23,02 €",ONE PIECE CARD GAME- Official Card Sleeves 9 (Set of 4) [Bandai].jpg,ONE PIECE CARD GAME- Official Card Sleeves 9 (Set of 4) [Bandai]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong>Japanese Original Edition</strong><strong>, One Piece Card Game Official Card Sleeve</strong> </span></p><p><span style=""font-size: 10pt;"">Protect your valuable cards in style with the ONE PIECE CARD GAME Official Card Sleeve Set by Bandai. This set includes four types of high-quality card sleeves featuring iconic artwork from the beloved One Piece series. Each sleeve is designed to fit standard-sized trading cards, providing both protection and visual enhancement. Whether you're a seasoned card game player or a collector of One Piece memorabilia, this Official Card Sleeve Set adds a touch of elegance and durability to your gaming experience.</span></p><p>[Set contents list]<br/>A: Eustace Kid<br/>B: Sogeking<br/>C: Sugar<br/>D: Standard Mint Green &amp; Lemon</p><p><span style=""text-decoration: underline; font-size: 10pt;""><strong>Details:</strong></span></p><p><span style=""font-size: 10pt;""><strong>Maker</strong>: Bandai</span><br/><span style=""font-size: 10pt;""><strong>Material : </strong>PP</span><br/><span style=""font-size: 10pt;""><strong>Size:</strong> N/A</span><br/><span style=""font-size: 10pt;""><strong>Release Date </strong>: 2024/11</span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4582769707094</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=game"">game</a> <a href=""https://www.nin-nin-game.com/en/search?tag=bandai"">bandai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=official"">official</a> <a href=""https://www.nin-nin-game.com/en/search?tag=card"">card</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=trading"">trading</a> <a href=""https://www.nin-nin-game.com/en/search?tag=4+Types+Set"">4 Types Set</a> <a href=""https://www.nin-nin-game.com/en/search?tag=sleeve"">sleeve</a></div></div></div></div>",,One Piece
Sofvimates: One Piece - Karoo (Banpresto) [2nd Hand],"15,04 €",Sofvimates- One Piece - Karoo (Banpresto) [2nd Hand].jpg,Sofvimates- One Piece - Karoo (Banpresto) [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""color: #000000; font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Version, 2nd Hand Figure<br/></strong>This product come from Amusement UFO Catcher</span></p><p>From the <em>Sofvimates</em> series by Banpresto comes <strong>Karoo</strong>, the adorable duck from <em>One Piece</em>. This soft vinyl figure is designed to be irresistibly cute, bringing a playful and heartwarming presence to any room.</p><p>With its charming design and delightful volume, this figure captures Karoo’s lovable personality perfectly. A must-have for fans of <em>One Piece</em> and collectors of unique figures, Karoo from the <em>Sofvimates</em> series is a perfect blend of fun and display-ready appeal!</p><p><strong style=""font-size: 10pt;""><span style=""text-decoration: underline;"">Details:</span></strong></p><p><span style=""color: #000000; font-size: 10pt;""><strong>Maker: </strong>Bandai Spirits</span><br/><span style=""color: #000000; font-size: 10pt;""><strong>Material</strong>: Soft Vinyl</span><br/><span style=""color: #000000; font-size: 10pt;""><strong>Size: </strong>~ (H) 13.0 cm </span><br/><span style=""color: #000000; font-size: 10pt;""><strong>Release Date: </strong>2024/11</span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Sofvimates"">Sofvimates</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Karoo"">Karoo</a></div></div></div></div>",,One Piece
One Piece: The Departure - Crocodile (Banpresto) [2nd Hand],"¥2,730",One Piece- The Departure - Crocodile (Banpresto) [2nd Hand].jpg,One Piece- The Departure - Crocodile (Banpresto) [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Version, 2nd Hand Figure<br/></strong>This product comes from an Amusement Center UFO Catcher</span></p><p>From the <em>One Piece: The Departure</em> series by Banpresto comes <strong>Crocodile</strong>, the former Warlord of the Sea and Sand-Sand Fruit user, brought to life in an impressive figure. This marks Crocodile’s debut in the <em>The Departure</em> lineup, showcasing him as he strides confidently toward a new adventure.</p><p>With meticulous sculpting and a commanding pose, this figure captures the fearless determination and elegance of one of One Piece’s most iconic characters. A must-have for fans of Crocodile and <em>One Piece</em>, this figure brings the essence of his bold departure to life in stunning detail!</p><p><span style=""text-decoration: underline; font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""font-weight: normal;""><strong style=""font-size: 10pt;"">Details:</strong></span></strong></span></p><p><span style=""font-size: 10pt;""><strong>Maker:</strong> Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong>Material:</strong> PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong>Size:</strong> ~ (H) 17.0cm </span><br/><span style=""font-size: 10pt;""><strong>Release Date: </strong>2024/11</span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Prize+Figure"">Prize Figure</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Crocodile"">Crocodile</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Departure"">Departure</a></div></div></div></div>",,One Piece
DXF Figure: The Grandline Series Extra - One Piece - Shanks (Banpresto) [2nd hand],"21,65 €",DXF Figure- The Grandline Series Extra - One Piece - Shanks (Banpresto) [2nd hand].jpg,DXF Figure- The Grandline Series Extra - One Piece - Shanks (Banpresto) [2nd hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong>Japanese Original <strong>Edition</strong><strong>, 2nd hand Figure</strong></strong></span><br/><span style=""font-size: 10pt;""><strong>This product comes from an Amusement Center UFO Catcher.</strong></span></p><p>From the <em>DXF Grandline Series Extra</em> by Banpresto comes this striking figure of <strong>Shanks</strong> from <em>One Piece</em>. This figure captures Shanks’ bold and fearless personality, reflected in his confident stance and determined expression, making it a standout addition to the <em>Grandline Series</em>.</p><p>With a simple yet powerful pose, the figure perfectly highlights the essence of the legendary pirate, showcasing his charisma and presence. A must-have for <em>One Piece</em> fans, this figure is an iconic representation of Shanks and a perfect addition to any collection!</p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""text-decoration: underline;"">Details:</span></strong></span></p><p><span style=""font-size: 10pt;""><strong>Maker:</strong> Banpresto</span><br/><span style=""font-size: 10pt;""><strong>Material:</strong> PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong>Size: </strong>17.0cm </span><br/><span style=""font-size: 10pt;""><strong>Release Date: </strong>2024/11</span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=DXF+Figure"">DXF Figure</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Shanks"">Shanks</a> <a href=""https://www.nin-nin-game.com/en/search?tag=The+Grandline+Series+Extra"">The Grandline Series Extra</a></div></div></div></div>",,One Piece
Battle Record Collection: One Piece - Roranoa Zoro (Egghead Arc Ver.) (Banpresto) [2nd Hand],"15,70 €",Battle Record Collection- One Piece - Roranoa Zoro (Egghead Arc Ver.) (Banpresto) [2nd Hand].jpg,Battle Record Collection- One Piece - Roranoa Zoro (Egghead Arc Ver.) (Banpresto) [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Version, 2nd Hand Figure<br/></strong>This product comes from an Amusement Center UFO Catcher</span></p><p>From the <em>Battle Record Collection</em> series comes Roronoa Zoro in his Egghead Arc outfit, brought to life by Banpresto. This figure captures Zoro in a dynamic pose, showcasing the vibrancy of his colorful Egghead attire and the fierce energy he brings to battle.</p><p>With meticulous sculpting and bold colors, this figure perfectly reflects Zoro’s determined spirit and iconic presence during the Egghead Arc. A must-have for fans of <em>One Piece</em> and collectors of the <em>Battle Record Collection</em>, this piece is a striking addition to any display!</p><p><span style=""text-decoration: underline; font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""font-weight: normal;""><strong style=""font-size: 10pt;"">Details:</strong></span></strong></span></p><p><span style=""font-size: 10pt;""><strong>Maker:</strong> Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong>Material:</strong> PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong>Size:</strong> ~ (H) 16.0cm </span><br/><span style=""font-size: 10pt;""><strong>Release Date: </strong>2024/11</span></p><div id=""product_reference"" style=""display: none;""> <strong>Reference: </strong> <span class=""editable""></span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=banpresto"">banpresto</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Battle+Record+Collection"">Battle Record Collection</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=roranoa+zoro"">roranoa zoro</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Egghead+Arc+Ver."">Egghead Arc Ver.</a></div></div></div></div>",,One Piece
Ichiban Kuji (Last One Prize): One Piece - Memory of Heroines - Boa Hancock (Condescending Ver.) [2nd Hand],"168,34 €",Ichiban Kuji (Last One Prize)- One Piece - Memory of Heroines - Boa Hancock (Condescending Ver.) [2nd Hand].jpg,Ichiban Kuji (Last One Prize)- One Piece - Memory of Heroines - Boa Hancock (Condescending Ver.) [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Original Edition, 2nd Hand Prize Figure</strong><br/>This is a Convenience Store Lottery product</span></p><p>The <em>Ichiban Kuji Boa Hancock Figure - Memory of Heroine Series</em> captures the Pirate Empress in her iconic, dramatic pose, bending her back fully and gazing upward with her signature air of superiority. This striking figure showcases Hancock’s elegance and confidence, with intricate detailing on her flowing hair, stunning outfit, and regal expression. Perfect for <em>One Piece</em> fans, it’s a must-have collectible that embodies Hancock’s unmatched charisma and commanding presence.<br/><span>© Eiichiro Oda/Shueisha, Fuji Television, Toei Animation</span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""text-decoration-line: underline;""><strong>Details</strong></span><span style=""font-weight: normal;"">:</span></strong></span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Maker</strong>: Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Material: </strong>PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Size: </strong>~ (H) 18.0cm</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Release Date: </strong>2024/11</span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4573102670625</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=bandai"">bandai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Boa+Hancock"">Boa Hancock</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Spirits"">Spirits</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Ichiban+Kuji"">Ichiban Kuji</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=memory+of+heroine"">memory of heroine</a></div></div></div></div>",,One Piece
Ichiban Kuji (D Prize): One Piece - Memory of Heroines - Lilith [2nd Hand],"82,27 €",Ichiban Kuji (D Prize)- One Piece - Memory of Heroines - Lilith [2nd Hand].jpg,Ichiban Kuji (D Prize)- One Piece - Memory of Heroines - Lilith [2nd Hand]_BIG.jpg,"<div class=""rte product-page-tab"" id=""idTab1""><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Japanese Original Edition, 2nd Hand Prize Figure</strong><br/>This is a Convenience Store Lottery product</span></p><p>The <em>Ichiban Kuji Dr. Vegapunk Lilith Figure - Memory of Heroine Series</em> showcases Lilith, the Punk aspect of Dr. Vegapunk, in a bold and dynamic pose. Dressed in her edgy attire, she exudes confidence and mischief, embodying her rebellious personality. The figure features intricate detailing, from her striking hair to her tech-inspired outfit, capturing the essence of her character. A must-have for <em>One Piece</em> fans, this figure brings Lilith’s unique charm to life.<br/><span>© Eiichiro Oda/Shueisha, Fuji Television, Toei Animation</span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;""><span style=""text-decoration-line: underline;""><strong>Details</strong></span><span style=""font-weight: normal;"">:</span></strong></span></p><p><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Maker</strong>: Bandai Spirits</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Material: </strong>PVC / ABS</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Size: </strong>~ (H) 20.0cm</span><br/><span style=""font-size: 10pt;""><strong style=""font-size: 10pt;"">Release Date: </strong>2024/11</span></p><div id=""product_reference""> <strong>Reference: </strong> <span class=""editable"">4573102670618</span><div class=""product-page-attributes product-page-attributes--bottom""><div class=""product-page-attributes-item product-page-attributes-item--small"">Tags: <a href=""https://www.nin-nin-game.com/en/search?tag=bandai"">bandai</a> <a href=""https://www.nin-nin-game.com/en/search?tag=One+Piece"">One Piece</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Spirits"">Spirits</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Ichiban+Kuji"">Ichiban Kuji</a> <a href=""https://www.nin-nin-game.com/en/search?tag=2nd+Hand"">2nd Hand</a> <a href=""https://www.nin-nin-game.com/en/search?tag=Lilith"">Lilith</a> <a href=""https://www.nin-nin-game.com/en/search?tag=memory+of+heroine"">memory of heroine</a></div></div></div></div>",,One Piece
